text_cleaned,Loại BDS,Hướng nhà,Pháp lý,Nội thất,Vị trí so với biển,Tình trạng dân cư xung quanh,Hình dáng nhà,Khu vực để xe,Loại hẻm,Phong thủy,Quận/Huyện,Sân thượng/ Ban công,Khả năng thoát nước,Vị trí,Vỉa hè,Giá,Diện tích,Kích thước,Số phòng ngủ,Số toilet,Số tầng,Đường trước nhà
"3 tầng đường 10m5 kinh doanh lê quảng chí , hướng đông nam , dt100m2 ( 5 x 20), đoạn đẹp nhất đường , đường 10m5 lề 5m. 3 phòng ngủ 4wc riêng. giá bán có thương lượng lh xem nhà ánh",,hướng đông nam,,,,,,,,,,,,,có,,dt100m2,( 5 x 20),3 phòng ngủ,4wc,3 tầng,đường 10m5
"bán đất thach son 6 đường 5m5 gần ngay công viên và trục thông dài liên các khu lân cận hướng đông bắc giá .8 tỷ lô sạch đẹp thuận lợi đầu tư, xây trọ, an cư lh út hậu nhận giá chính chủ dịch vụ nhà đất út hậu đc lo 26 nguyễn tất thành nối dài hhn lc mua ba n ky go i nha đa t ho a lie n va la n ca n",đất,hướng đông bắc,Chính chủ,,,,,,,,quận liên chiểu,,,,,giá .8 tỷ,,,,,,đường 5m5
"tin nóng đà nẵng hôm nay vi tri bắc bến xe khu tây sau lưng nguyễn huy tưởng cha o ba n lô góc tặng nhà 2,5 mê kiểu biệt thự die n ti ch đất 104,5m2 đường 5m5 và 7m5 kề d/a công viền khu thương mại cao tầng auzora hướng tây bắc đông nam gia chàoba n 5tỷ180tr lien he nha n ky gu i mua ba n cho thue nha đat kiến trúc kiểu biệt thự công năng đủ p thờ p khách bếp p ăn sân thượng trước sau 3 p ngủ 2 wc cảm phiền anh chị xem nhà vui lòng hẹn trước giúp em 30phút",,hướng tây bắc,,,,,,,,,,có,,,,gia chàoba n 5tỷ180tr,,,3 p ngủ,2 wc,,đường 5m5
"chính chủ gửi bán lô đất mặt tiền chương dương view sông hàn thơ mộng diện tích 100m2 ngang 5m kẹp lối đi bộ 7m 2 mặt tiền thoáng vĩnh viễn lô đất nằm ở vị trí đẹp nhìn qua bên kia là công viên châu á.... phù hợp xây dựng các công trình và kinh doanh các loại hình dịch vụ, du lịch... giá bán chính chủ 1x tỷ tl chính chủ lh gặp hòa ncc",đất,,Chính chủ,,,,,,,,,,,mặt tiền,,giá bán chính chủ 1x tỷ t,diện tích 100m2,ngang 5m,,,,
cặp châu thị vĩnh tế khu phố kinh doanh sầm uất diện tích 206m2 ngang 10m hướng đông trục kinh doanh sầm uất giá bán chính chủ 2 x tỷ hai mươi mấy tỷ lh gặp hòa ncc. bdshoacuong,,hướng đông,Chính chủ,,,đông đúc,,,,,,,,,,giá bán chính chủ 2 x tỷ,diện tích 206m2,ngang 10m,,,,
"chào bán nhà 2 tầng mt tiên sơn hòa cường, hải châu, đà nẵng vị trí trung tâm sát 3 trường đại học lớn là đông á, kiến trúc, ngoại ngữ nhà nằm sau trường cấp 3 nguyễn hiền diện tích 64m2 x 2 tầng kiên cố sạch sẽ gồm 3pn 2wc hướng bắc ghé tây giá bán 3ty950 có bớt cho khách thiện chí mua nhanh lh gặp hòa xem nhà",nhà,hướng bắc,,,,,,,,,quận hải châu,,,mặt tiền,,giá bán 3ty950,diện tích 64m2,,3pn,2wc,2 tầng,
"nhà 5 tầng trung tâm đà nẵng địa chỉ hoàng diệu đường 7m oto đậu đổ thoải mái kết cấu nhà 5 tầng full nội thất cao cấp hiện đại. công năng ở dư thừa, làm căn hộ kinh doanh cũng ok nhà có thang máy nhập khẩu, thang bộ đầy đủ diện tích đất 54m2 rộng rãi.... giá bán tốt chỉ 5 tỷ x thiện chí cho khách lh xem nhà gặp hòa mở cửa gặp chủ đàm phán",nhà,,,Nội thất cao cấp,,,,có,,,,,,,,giá bán tốt chỉ 5 tỷ x t,diện tích đất 54m2,,,,5 tầng,đường 7m
chính chủ gửi bán nhà 2 tầng gần đại học ngoại ngữ diện tích 75m2 ngang 4m5 hướng tây tứ trạch nhà 2 tầng kiên cố 3pn 2wc đường 5m5 lề 3m gần tất cả mọi tiện ích giá 4ty650 tl chính chủ,nhà,hướng tây,Chính chủ,,,,,,,,,,,,có,giá 4ty650 t,diện tích 75m2,ngang 4m,3pn,2wc,2 tầng,đường 5m5
"chính chủ cần bán nhanh lô đất 2 mặt kiệt oto tiểu la. diện tích 50m2 tiện ích ngay trung tâm thành phố, tiện lợi cho mọi công việc đi lại. giá 2.450",nhà,,Chính chủ,,,,,,hẻm ô tô,,,,,kiệt,,,diện tích 50m2,,,,,
"bán nhà 2 mê sau lưng mặt tiền đường hoàng thúc trâm hoà cường bắc. nhà 2 mặt kiệt thông thoáng diện tích 70m2 (ngang 8,5m) công năng 2 pn, 2 wc, gian thời , sân phơi, sân vườn rộng, ban công thoáng mát...... giá 3,5 tỷ ( thương lượng)",nhà,,,,,,,,hẻm thông,,,có,,kiệt,,"giá 3,5 tỷ",diện tích 70m2,"(ngang 8,5m",2 pn,2 wc,,
"chủ có việc cần bán lô góc khu phước tường dt 120m2 ngang 7m5 góc 2 mặt tiền đường 5m5 phước tường. khu bộ đội ở an ninh tốt đất đẹp, rộng, trục thông chính ra lê trọng tấn giá bán tốt 2 tỷ x ( siêu rẻ) lh gặp hòa",đất,,,,,,,,,,,,,mặt tiền,,giá bán tốt 2 tỷ x,dt 120m2,ngang 7m,,,,đường 5m5
đầm sen nam hòa xuân giá tốt đầu tư gần minh mạng còn b2.137 lô 1x trụ diện tích 100m2 hướng bắc giá 2 ty 990,,hướng bắc,,,,,,,,,,,,,,giá 2 ty 990,diện tích 100m2,,,,,
"n a m h ò a x u â n vị trí b2.53 lô 6x gần sông, gần cầu trung lương ga n tru o ng ho c thua n tie n con em đi ho c. mức giá tầm trung (2ty750) hướng đông nam mát mẻ 110 pháp lí sổ đỏ chính chủ. chuyển nhượng xây dựng được ngay ta i sao k nhanh cha n rin lo đa t na y ve quy kha ch ha ng tha n e u nhi",,hướng đông nam,Sổ đỏ,,,,,,,,,,,,,giá tầm trung (2ty750,,,,,,
"1/ vị trí kiệt 382 tôn đức thắng, phường hòa minh, quận liên chiểu. 2/ thông tin ngôi nhà dt đất 63m2 ( ngang 4.71m, nở hậu 5.03m, dài 13m, đất đẹp ), dt sàn 115m2 hướng tây nam, giấy tờ sổ hồng chắc chắn. công năng đầy đủ phòng khách, phòng bếp, 3pn, 2wc, phòng thờ, sân để xe, sân phơi đồ, 2 giếng trời, ban công .. đường kiệt rộng rãi 2.5 3m, cách đường tôn đức thắng 70m. 3/ tiện ích mang lại cách ủy ban công an trạm y tế phường hòa minh 250m. trường mầm non chất lượng cao đồ rê mí, thcs nguyễn bỉnh khiêm, thpt nguyễn thượng hiền 300m bến xe trung tâm 800m, cầu vượt ngã 3 huế 1km. 4/ cam kết hình ảnh thế nào nhà thực tế như vậy, chủ nhà dễ tính hỗ trợ vay vốn ngân hàng nếu có nhu cầu. 5/ gía bán 2.57 tỷ có thương lượng qúy anh/chị quan tâm vui lòng gọi ngay/nhắn tin zalo cho tôi để trao đổi thêm thông tin và tới khảo sát nhà thực tế trước khi chủ nhận cọc bán mất, cám ơn đã đọc tin",,hướng tây nam,Sổ hồng,,,,nở hậu,có,hẻm ô tô,,quận liên chiểu,có,,kiệt,,gía bán 2.57 tỷ,dt đất 63m2,( ngang 4.71m,3pn,2wc,,
"nhà 2 tầng, 2 mê kiên cố, thiết kế hiện đại với đầy đủ công năng, 3pn khép kín, 2wc, phòng khách, phòng thờ rộng rãi. diện tích đất 83m2 ngang 5m. diện tích sàn 158m2 đường trước 5m5 lề 3m gần ngã tư phan khoang.",nhà,,,,,,,,,,,,,,có,,diện tích đất 83m2,ngang 5m,3pn,2wc,2 tầng,
"bán nhà cách đường hoàng diệu 10m dt 50m2 ngan hơn 6m, nở hậu hướng đông nam nhà 1 mê rưỡi ( nhưng xây như 2 tầng) với 3pn 2wc tìm đâu ra căn thứ 2 ạ, tttp quận hải châu, giá 2 tỷ 7 có bớt cho khách thiện chí ạ lh alo e trang xem nhà và lvcc ạ",nhà,hướng đông nam,,,,,nở hậu,,,,quận hải châu,,,,,giá 2 tỷ 7,dt 50m2,,3pn,2wc,2 tầng,
"1/ vị trí. k87 hoàng văn thái, bên hông đh duy tân, đường kiệt bê tông rộng 4.5 5m. 2/ thông tin chi tiết. diện tích 72m2 (ngang 5m vuông vức). hướng tây nam, giấy tờ sổ hồng. đất sạch đẹp đã được xây gạch rõ phân chia lộ giới rõ ràng, cốt đất cao xây nhà kiên cố. 3/ tiện ích xung quanh. khu dân cư đông đúc, hàng xóm thân thiện. chợ lớn hòa khánh nam 400m, bán kính 1.5km có đầy đủ trường học các cấp. bến xe trung tâm 2km, đh sư phạm 2km. 4/ cam kết. hình ảnh thế nào đất thực tế như vậy. chủ đất dễ tính hỗ trợ vay vốn ngân hàng nếu có nhu cầu. 5/ giá bán 1.59 tỷ còn có thương lượng quý anh/chị quan tâm vui lòng gọi ngay/nhắn tin zalo cho tôi để trao đổi thêm thông tin và tới khảo sát đất thực tế trước khi chủ nhận cọc bán mất. cám ơn đã đọc tin",,hướng tây nam,Sổ hồng,,,đông đúc,vuông vức,,hẻm ô tô,,,,,kiệt,,giá bán 1.59 tỷ,diện tích 72m2,rộng 4.5,,,,
"nhà kiệt ô tô vi vu hải châu nhà 2 tầng, 3phòng ngủ, 2wc, phòng khách, bếp. sân rộng để ô tô. kiệt ô tô tránh. bên cạnh là trường tiểu học núi thành chợ siêu thị đi trong 1 nốt nhạc sổ hồng vuông vức.",nhà,,Sổ hồng,,,,vuông vức,có,hẻm ô tô,,quận hải châu,,,kiệt,,,,rong 1,3phòng ngủ,2wc,2 tầng,
"đất mặt tiền vũ trọng hoàng vị trí gần bến xe đà nẵng đường 10m5 kề góc dt 90m2 giá 4,2 tỷ vị trí buôn bán đa nghành cám ơn anh chị đã xem tin",đất,,,,,,,,,,,,,mặt tiền,,"giá 4,2 tỷ",dt 90m2,,,,,đường 10m5
"nhà kiệt 2m trần đình nam kđt phước lý hiện trạng cấp 4 dt đất 52m2 công năng bếp p khách p ngủ 2 1 wc nhà hướng tây , kiệt cụt cách đường chính 150m ô tô đậu cách nhà 50m cảm phiền anh chị xem nhà vui lòng hẹn trước 30 phút ạ bạn em cần bán gấp để công chứng kịp nhà mặt tiền ạ",nhà,hướng tây,,,,,,có,hẻm cụt,,,,,kiệt,,,dt đất 52m2,2 1,,1 wc,,
"bán lô đất sau lưng nhà mt tôn đản dt 92m2, ngang 4m5 hướng đông nam giá 1ty8 x x lh luân xem đất và làm việc chính chủ",nhà,hướng đông nam,Chính chủ,,,,,,,,,,,mặt tiền,,giá 1ty8,dt 92m2,ngang 4m,,,,
chính chủ cần bán nhà cấp 4 diện tích 100m2 có 1 phòng khách 2 phòng ngủ đường 5m5 sau lưng xã hoà sơn,nhà,,Chính chủ,,,,,,,,,,,,,,diện tích 100m2,,2 phòng ngủ,,,đường 5m5
"bán đất kiệt oto tô hiệu dt 60m2 ngan 4,80m hướng đông nam đất sạch đẹp cách đường tô hiệu 80m, thẳng 1 đường, xe tải vào quay đầu vô tư giá 1 tỷ 690tr lh",đất,hướng đông nam,,,,,,,hẻm ô tô,,,,,kiệt,,giá 1 tỷ 690tr,dt 60m2,,,,,
"suất ngoại giao, căn hộ trung tâm tp đà nẵng, cạnh sông hàn, view biển, view cầu rồng giá cực rẻ, full giá chỉ 2,2 tỷ/ căn. sổ đỏ lâu dài. vị trí đối diện công viên châu á bên kia sông hàn. ngay ngã tư quốc tế ngô quyền và nguyễn văn thoại tiềm năng kd cho thuê từ 25tr/ tháng miễn phí quản lý 3 năm. thanh toán linh hoạt hỗ trợ vay ls 0 . mỗi tháng chỉ cần đóng 2,5 trong 30 tháng. tiện ích cao cấp 5 sao dành cho mọi thế hệ khu vui chơi trẻ em, thể thao, bể bơi vô cực, quảng trường, đài bắn pháo hoa, tttm... chủ đầu tư sun group uy tín top 1 việt nam",căn hộ,,Sổ đỏ,,view biển,,,,,,,,,,,"giá cực rẻ, full giá chỉ 2,2 tỷ",,rong 30,,,,
hạ giá bán gấp nhà đẹp 50m2 ngang 4m vv đường nhựa 6m nguyễn phước nguyên.hướng tây nam. nhà thiết kế 3 phòng ngủ 3 wc đầy đủ công năng .ôtô đậu sát bên nhà . nội thất đầy đủ tivi tủ lạnh điều hòa. giá mềm 3 tỷ 650 thương lượng. chốt nhanh. hỗ trợ vay ngân hàng lãi suất thấp . xem nhà zalo thịnh làm việc chính chủ.,nhà,hướng tây nam,Chính chủ,Nội thất đầy đủ,,,,có,,,,,,,,giá mềm 3 tỷ 650 t,,ngang 4m,3 phòng ngủ,3 wc,,
"nhà 2 tầng 2 mê kiệt 3,5m huỳnh ngọc huệ. hoà khê. thanh khê. diện tích đất 75m. ngang 4,5m nở hậu 4,7m. nhà 3 phòng ngủ 2 toilet phòng thờ phòng sinh hoạt chung sân xe máy sân phơi,giếng trời. trên lợp tôn chống nóng và thấm. dàn năng lượng mặt trời. cách mặt tiền huỳnh ngọc huệ 30m. gần ngay điện biên phủ chợ thanh khê. giá 4,1 tỷ. thương lượng chính chủ.",nhà,,Chính chủ,,gần biển,,nở hậu,có,,,quận thanh khê,,,kiệt,,"giá 4,1 tỷ",diện tích đất 75m,"ngang 4,5m",3 phòng ngủ,2 toilet,2 tầng,
"đường 10,5m mà rẻ hơn đường 7,5m văn tiến dũng hoà xuân cẩm lệ diện tích 100m2 hướng tây đường 10,5m khu đông dân, sầm uất g.iá 3,3x tỷ (x mầm non ) thương lượng cho khách mua thiện chí lh mua bán a.quang",,hướng tây,,,,đông đúc,,,,,quận cẩm lệ,,,,,,diện tích 100m2,,,,,"đường 10,5m"
"đất kiệt 5m thông ngay trung tâm hoà thọ tây cẩm lệ đà nẵng diện tích 139 m2 ngang 6m dài 23,20m vuông vức hướng nam lệch đông giá 1 tỷ 8 x x liên hệ luân xem đất và làm việc chính chủ",đất,hướng đông nam,Chính chủ,,,,vuông vức,,,,quận cẩm lệ,,,kiệt,,giá 1 tỷ 8,diện tích 139 m2,"ngang 6m dài 23,20m",,,,
"bán lô rẻ nhất khu tân trà, hợp ở và kinh doanh mt ngang 7m5., xây gì cũng đẹp. 175m2, hướng tây, cách biển 200m, ngay công viên nên kinh doanh cũng hợp lý. đường 5m5 giá 3ty2 tl liên hệ thủy call/zalo nhận ký gửi thuê mua bán bđs",đất,hướng tây,,,gần biển,,,,,,,,,mặt tiền,,giá 3ty2 t,,ngang 7m,,,,đường 5m5
chính chủ bán lô đất 5 x 21m kđt phước lý đường 7.5 mét phước lý 6. lô đất lỗi phong thuỷ đường phước lý 7 5.5 mét đâm vào. (đường nhỏ đâm vào đường lớn nên cũng đỡ phần nào) thông tin chi tiết có trong hình. cám ơn ạ,đất,,Chính chủ,,,,,,,,,,,,,,,5 x 21m,,,,đường 7.5 m
"đường 5,5m lề 3m kẹp công viên 10m bên cạnh có lối đi và tận dụng ở mở cửa thoáng mát và xây trọ đều được ngang 5m dài 20m diện tích 100m2 hướng có 3 lô đông nam ,đông bắc,tây nam liên hệ xem sổ đỏ và làm việc trực tiếp chính chủ",,hướng tây nam,Sổ đỏ,,,,,,,,,,,,có,,diện tích 100m2,ngang 5m dài 20m,,,,"đường 5,5m"
"cần bán nhà mặt tiền kiệt ngũ hành sơn thông an thượng 22. hiện trạng đường bê tông 9m cuối năm rải nhựa lên tên đường an thượng 22 nhà c4 sạch sẽ 2pn 1 toilet có thể làm thêm 1 cái. diện tích 86.4m ngang 4.3m hướng đông nam mát mẻ gần đại học kinh tế xây phòng trọ cho thuê, căn hộ. khu cán bộ an ninh giá bán 4.x tỷ (tl chính chủ)",nhà,hướng đông nam,Chính chủ,,,,,,,,quận ngũ hành sơn,,,kiệt,,giá bán 4.x tỷ,diện tích 86.4m,ngang 4.3m,2pn,1 toilet,,
"bán đất đường hà bồng b1.49 hướng tây bắc gần sân bóng diên hồng diện tích 100m2, hướng tây bắc đường 7m5 lề 4m nằm song song đường 29/3 hoà xuân xung quanh đầy đủ tiện ích khu vực đông dân cư, thân thiện, thich hợp an cư và đầu tư gần sân bóng diên hồng sổ đỏ hoàn chỉnh giá bán 3,150tỷ (thương lượng) liên hệ thuỳ",đất,hướng tây bắc,Sổ đỏ,,,đông đúc,,,,,,,,,có,"giá bán 3,150tỷ",diện tích 100m2,,,,,đường 7m5
"cần bán căn hộ chung cư 12t2 mặt tiền trần thánh tông, sơn trà. dt 52m2. 2 phòng ngủ, 1 wc. để lại nội thất. khu dân cư cán bộ văn hóa. sổ đỏ lâu dài. giá bán công chứng. thương lượng chính chủ. ac thiện chí mua lh ạ. cảm ơn. nhà đất sơn trà. mb chung cư 12t2.",căn hộ,,Sổ đỏ,Nội thất đầy đủ,,,,,,,quận sơn trà,,,mặt tiền,,,dt 52m2,,2 phòng ngủ,1 wc,,
"nhà 3 tầng kiệt lý thái tổ. dt đất 55 m. ngang 5,15m vuông vức. hướng đông. nhà 3pn,4wc,phòng thờ,sân xe. nhà mới 100 , full nội thất. zá 3,6 tỷ. thương lượng chính chủ.",nhà,hướng đông,Chính chủ,Nội thất đầy đủ,,,vuông vức,có,,,,,,kiệt,,,dt đất 55 m,"ngang 5,15m",3pn,4wc,3 tầng,
"bán lô đất mt 5,5m bùi hiển. hoà an. cẩm lệ. diện tích đất 82,5m. ngang 5m. đất sạch đẹp gần ngay đường bắc sơn yên thế. khu dân cư đông đúc văn minh lịch sự. giá 2,75 tỷ. thương lượng chính chủ.",đất,,Chính chủ,,,đông đúc,,,,,quận cẩm lệ,,,mặt tiền,,"giá 2,75 tỷ","diện tích đất 82,5m",ngang 5m,,,,
"chào bán 4 lô đất lẻ đường 7,5m phan khôi hòa xuân đà nẵng. hướng tây , diện tích 100m2 bán lẻ mỗi lô giá từ 2,450 tỷ đến 2.550 tỷ , tùy vị trí . đường thông dài quá đẹp để ở liên hệ 0932 555 ... zalo ( nắm chủ )",đất,hướng tây,,,,,,,,,,,,,,"giá từ 2,450 tỷ",diện tích 100m2,0932 555,,,,"đường 7,5m"
"bán nhà 3 tầng rất đẹp đường hồ sỹ dương, quận cẩm lệ đà nẵng diện tích 5 x 18 hướng bắc lệch tây 7,5m lề mỗi bên 4,5m nhà 3 tầng và có tầng hầm để oto nhà rất đẹp và kiêng cố giá bán 4,6 tỷ có thương lượng nhẹ liên hệ nhung",nhà,hướng tây bắc,,,,,,có,,,quận cẩm lệ,,,,có,"giá bán 4,6 tỷ",,5 x 18,,,3 tầng,
"chủ có việc cần bán lô góc khu phước tường dt 120m2 ngang 7m5 góc 2 mặt tiền đường 5m5 phước tường. khu bộ đội ở an ninh tốt đất đẹp, rộng, trục thông chính ra lê trọng tấn giá bán tốt 2ty6 tl lh xem đất và làm việc chính chủ",đất,,Chính chủ,,,,,,,,,,,mặt tiền,,giá bán tốt 2ty6 t,dt 120m2,ngang 7m,,,,đường 5m5
"chính chủ nhờ bán nhanh nhà gần 2 tầng 2 mặt kiệt thoáng mát sạch sẽ đẹp , kiệt hải phòng thông ra lê độ quận thanh khê công năng 2 phòng ngủ , 2 wc, phòng thờ , sân xe rộng rãi diện tích đất 52m ngang 5m diện tích sử dụng 80m giá 1 tỷ 850 triệu hỗ trợ vay 70 ngân hàng liên hệ ánh trúc hỗ trợ xem nhà",nhà,,Chính chủ,,,,,có,,,quận thanh khê,,,kiệt,,giá 1 tỷ 850 triệu,diện tích đất 52m,ngang 5m,2 phòng ngủ,2 wc,2 tầng,
"chính chủ gởi bán nhà 2 tầng kiệt ô tô 249 hà huy tập trung tâm thanh khê giá 2,75 tỷ diện tích 78m2 ngang 5m công năng 3 phòng ngủ, 3wc, có phòng ngủ dưới dành cho trẻ e và người lớn tuổi rất tiện lợi để sinh hoạt. liên hệ 0866.915.771 ánh trúc xem nhà",nhà,,Chính chủ,,,,,,hẻm ô tô,,quận thanh khê,,,kiệt,,"giá 2,75 tỷ",diện tích 78m2,ngang 5m,3 phòng ngủ,3wc,2 tầng,
"chủ nhờ bán nhà hoàng diệu 2 tầng công năng 2phòng ngủ (có pn dưới) 2wc ,phòng thờ ,sân phơi công năng đầy đủ ( chủ thiện chí để lại hết nội thất y hình như tivi,điều hoà,tủ bếp v..v......) dt 42m2 (4 10) giá 2ty150 còn tl ( hỗ trợ vay 70 ) sổ nở hậu tài lộc sẵn sàng công chứng trong ngày",nhà,,,Nội thất đầy đủ,,,nở hậu,,,,,,,,,giá 2ty150,dt 42m2,(4 10),2phòng ngủ,2wc,2 tầng,
"vị trí ngay trung tâm hải châu đường hải phòng 300m tới chợ cồn, siêu thị go ( big c cũ), các trường học các cấp, trung tâm hành chính... tiện ích quanh nhà diện tích 50m2, mặt tiền 6,4m nhà 3 tầng mới keng full nội thất kiệt rộng thiết kế 3 tầng 4phòng ngủ (có phòng ngủ dưới ,3 wc , sân phơi ,phòng thờ ,ban công đầy đủ kiệt nông rộng, nông, thuận tiện đi lại giá 3,5 tỷ có thương lượng ( hỗ trợ vay 70 )",,,,Nội thất đầy đủ,,,,,,,quận hải châu,có,,kiệt,,"giá 3,5 tỷ",diện tích 50m2,,4phòng ngủ,3 wc,3 tầng,
