,text,tags
10,"bán lô đất mặt tiền chương dương ,sơn trà ,đà nẵng diện tích 100m2 ngang 5m ,dài 20m hướng tây bắc thích hợp xây dựng căn hộ ,khách sạn ,tòa nhà văn phòng... sổ đỏ ,pháp lý rõ ràng dân cư văn minh ,sầm uất giá 13ty thương lượng liên hệ sơn chở đi xem đất ,chở tới nhà chủ đặt cọc",B-LOAI_BDS I-LOAI_BDS I-LOAI_BDS B-VI_TRI I-VI_TRI B-DIEN_TICH I-DIEN_TICH I-DIEN_TICH I-DIEN_TICH I-DIEN_TICH I-DIEN_TICH O O B-DIEN_TICH B-CHIEU_RONG I-CHIEU_RONG O I-CHIEU_DAI B-HUONG_NHA I-HUONG_NHA I-HUONG_NHA B-TIEM_NANG I-TIEM_NANG I-TIEM_NANG I-TIEM_NANG B-LOAI_BDS I-LOAI_BDS I-TIEM_NANG I-TIEM_NANG I-TIEM_NANG I-TIEM_NANG I-AN_NINH I-TIEM_NANG... B-PHAP_LY I-PHAP_LY O I-PHAP_LY I-PHAP_LY I-PHAP_LY B-AN_NINH I-AN_NINH I-AN_NINH I-AN_NINH O I-KINH_DOANH O B-GIA O O O O O O O O I-LOAI_BDS O O I-TIEM_NANG O O O
11,"bán 588m2 đất mặt tiền nguyễn văn linh , nam dương ,hải châu ,sơn trà ,đà nẵng diện tích 588m2 ngang 17.5m2 là tuyến đường sầm uất ,trọng điểm của các trung tâm thương mại, thương hiệu thời trang đẳng cấp ,ẩm thực nổi tiếng, coffee ... vị trí gần cầu rồng ,view kết nối giữa biển và tttp. sổ đỏ ,pháp lý rõ ràng. giá 320tr/m2 ( tương đương 188.2 ty) liên hệ sơn tư vấn , xem đất ,deal giá",O B-DIEN_TICH B-LOAI_BDS B-VI_TRI I-VI_TRI B-DIA_CHI I-DIA_CHI I-DIA_CHI I-DIA_CHI I-DIA_CHI I-DIA_CHI I-DIA_CHIhải I-DIA_CHI I-DIA_CHIsơn I-DIA_CHI I-DIA_CHIđà I-DIA_CHI O O B-DIEN_TICH B-CHIEU_RONG I-CHIEU_RONG O O O B-KINH_DOANH I-KINH_DOANH I-DIA_CHItrọng O O O B-DICH_VU I-DICH_VU I-DICH_VU I-DICH_VUI-DIA_CHI I-DICH_VU O O O O O I-DIA_CHIẩm O O O O O O O O B-DICH_VU O I-DIA_CHIB-VIEW I-VIEW I-VIEW I-VIEW B-DICH_VU I-VIEW I-VIEW. B-PHAP_LY I-PHAP_LY I-DIA_CHIB-PHAP_LY I-PHAP_LY I-PHAP_LY I-PHAP_LY. O O O O O B-GIA I-GIA O O O O O I-DIA_CHI O B-LOAI_BDS I-DIA_CHIdeal O
12,"bán biệt thự 3 tầng 2 mặt tiền đường bằng lăng 2 khu biệt thự làng châu euro village 1 diện tích đất là 250 m2 chiều rộng 10m và chiều dài 25m. thiết kế 1 sân để xe, sân vườn, phòng khách, bếp, 4 phòng ngủ, 5wc, phòng thờ sân phơi, nội thất đẹp... 2 đường đều rộng 7m5 đường mát nhất khu hướng view ra sông hàn ( xem bắn pháp hoa đúng đẹp) khu dân cư cực vip, hội tụ toàn giới vip. đẳng cấp châu âu không gian thoáng mát, an ninh trực bảo vệ 24/24h với 3 chốt bảo vệ cổng. giá rẻ nhất khu là 27,9 tỷ đồng. sổ hồng chính chủ * ac thiện chí mua xin liên hệ sơn tư vấn","B-LOAI_BDS B-LOAI_BDS I-LOAI_BDS B-SO_TANG I-SO_TANG B-VI_TRI I-VI_TRI I-VI_TRI B-DUONG_KIET O O B-VI_TRI O B-LOAI_BDS I-LOAI_BDS O O O O O O O O O B-DIEN_TICH I-DIEN_TICH B-CHIEU_RONG I-CHIEU_RONG I-CHIEU_RONG O B-CHIEU_RONG I-CHIEU_DAI I-CHIEU_DAI. O O O B-KV_DE_XE I-KV_DE_XE I-KV_DE_XE, B-KV_DE_XE I-SAN_VUON, I-SO_PHONG_NGU I-TIEN_ICH_KHAC, B-TIEN_ICH_KHAC, B-SO_PHONG_NGU I-SO_PHONG_NGU I-SO_PHONG_NGU, B-SO_TOILET, I-SO_PHONG_NGU I-TIEN_ICH_KHAC B-KV_DE_XE I-TIEN_ICH_KHAC, B-NOI_THAT I-NOI_THAT I-NOI_THAT... B-VI_TRI B-DUONG_KIET I-DUONG_KIET I-CHIEU_RONG I-DUONG_KIET B-DUONG_KIET O O O O B-VIEW I-VIEW I-VIEW I-VIEW O I-KV_DE_XEm O O O O I-NOI_THAT) O O O O O O O O O O O O O O O O O O B-AN_NINH I-AN_NINH I-AN_NINH I-AN_NINH I-AN_NINH B-VI_TRIB-SO_PHONG_NGU/B-VI_TRIB-SO_PHONG_NGUh O B-SO_TANG O I-AN_NINH I-AN_NINH B-TIEN_ICH_KHAC. O O O O O B-VI_TRI7,9 I-GIA O B-PHAP_LY I-PHAP_LY I-PHAP_LY I-PHAP_LY O O O O O O O O O O O"
13,"bán đất đường 5m lương thế vinh, sơn trà ,đà nẵng 245m2 ngang 8.4 vuông thích hợp xây dựng căn hộ ,khách sạn sổ đỏ, pháp lý rõ ràng dân cư văn minh, văn hóa cao bân nhanh 36tr/m2alo sơn dẫn xem đất","B-LOAI_BDS I-LOAI_BDS B-DUONG_KIET I-DUONG_KIET B-DIA_CHI I-DIA_CHI I-DIA_CHI I-DIA_CHI I-DIA_CHI I-DIA_CHI I-DIA_CHI O B-CHIEU_RONG I-CHIEU_RONG O B-TIEM_NANG I-TIEM_NANG I-TIEM_NANG I-TIEM_NANG I-TIEM_NANG I-TIEM_NANG I-TIEM_NANG I-TIEM_NANG B-PHAP_LY I-PHAP_LY, B-PHAP_LY I-PHAP_LY I-PHAP_LY I-PHAP_LY B-AN_NINH I-AN_NINH I-AN_NINH I-AN_NINH, I-AN_NINH O O O O B-GIA I-DIA_CHI O O I-LOAI_BDS"
14,"bán gấp lô đất mt đường 10m5 đường văn tiến dũng đoạn gần dự án cmc, hòa xuân, cẩm lệ diện tích 100m2 (5 x 20) hướng đông, lô sạch đẹp vị trí mt đường 10m5, lề 5m, là trục đường huyết mạch của hòa xuân, lưu lượng xe di chuyển nhiều, gần khu quy hoạch dự án không gian sáng tạo cmc, gần trường học, tiềm năng cao. giá đầu tư 3,4 tỷ có thương lượng (bán đến cc) lh zalo/call bđs newlands chuyên nhà đất thổ cư đà nẵng pkd1 12 vũ văn dũng, sơn trà. pkd2 trục shophouse kđt fpt nhs","B-LOAI_BDS I-LOAI_BDS I-LOAI_BDS I-LOAI_BDS B-VI_TRI B-DUONG_KIET I-DUONG_KIET B-DUONG_KIET O O O O O O O O O O O O O O B-DIEN_TICH B-CHIEU_RONG O B-CHIEU_DAI B-HUONG_NHA I-HUONG_NHA, I-LOAI_BDS O O O O B-VI_TRI B-DUONG_KIET I-DUONG_KIET, B-VIA_HE I-VIA_HE, O O B-DUONG_KIET O O O O O O O O O O O O O O O O O O O O O O O B-DICH_VU I-DICH_VU, O O O O O O O I-GIA O O O O O O O O O O O O I-LOAI_BDS O O O O O O O O O O O O O O O O O"
15,"bán lô đất đường mỹ đa tây 10, nam việt á, khuê mỹ, ngũ hành sơn diện tích 85m2 (5 x 17) hướng đông bắc vị trí đường 5m5 lề 3m, gần trần hữu độ , tuyến đường nhiều nhà đẹp, dân cư thân thiện phù hợp mua ở gia đình. giá bán đến công chứng 3,3 tỷ có thương lượng liên hệ zalo/call bất động sản newlands chuyên nhà đất thổ cư đà nẵng pkd1 12 vũ văn dũng, sơn trà pkd2 trục shophouse kđt fpt nhs","B-LOAI_BDS I-LOAI_BDS I-LOAI_BDS B-DUONG_KIET I-DIA_CHI I-DIA_CHI I-DIA_CHI I-DIA_CHI I-DIA_CHI I-DIA_CHI I-DIA_CHI I-DIA_CHI I-DIA_CHI, I-DIA_CHI I-DIA_CHI I-DIA_CHI O O B-DIEN_TICH B-CHIEU_RONG O B-CHIEU_DAI B-HUONG_NHA I-HUONG_NHA I-HUONG_NHA O O B-DUONG_KIET I-DUONG_KIET B-VIA_HE I-VIA_HE, O O O O O O B-DUONG_KIET O O O O O O O B-TIEM_NANG I-TIEM_NANG I-TIEM_NANG I-TIEM_NANG I-TIEM_NANG I-TIEM_NANG. O B-LOAI_BDS O O O B-GIA I-GIA O O O O O O O O O O O O I-LOAI_BDS O O O O O O O O O I-DIA_CHI O O O O O O O"
16,"bán đất biệt thự vân đồn nại hiên đông sơn trà.đường 15 m lề 6m thông trần hưng đạo và chu huy mân. dt 300 m2 ngang 10m. hướng đông nam. vị trí khu dân trí nhà cao tầng, kinh doanh buôn bán. vị trí xây dựng biệt thự đẹp khỏi bàn. giá 13 tỷ. liên hệ sơn tư vấn vp 3 mặt tiền vũ ngọc nhạ",B-LOAI_BDS I-LOAI_BDS I-TIEM_NANG I-TIEM_NANG B-TIEN_ICH_KHAC I-TIEN_ICH_KHAC O O I-HUONG_NHA O O O O B-VIA_HE I-VIA_HE O O O O O O O O O B-DIEN_TICH I-DIEN_TICH B-CHIEU_RONG I-CHIEU_RONG. B-HUONG_NHA I-HUONG_NHA I-HUONG_NHA. O O O O O O O O B-KINH_DOANH I-KINH_DOANH I-KINH_DOANH B-LOAI_BDS. O O B-TIEM_NANG I-TIEM_NANG I-TIEM_NANG I-TIEM_NANG I-TIEM_NANG I-TIEM_NANG I-TIEM_NANG. O B-GIA I-GIA. O O O O O O O B-VI_TRI I-VI_TRI O O O
17,"đất mặt tiền đuòng 5m5 dương lâm dt 115m (5 23) hướng tây nam giá 3ty900 gần trường chợ đi đâu cũng tiện nhanh tay sổ đỏ ,pháp lý rõ ràng dân cư văn minh ,an ninh thích hợp ở đầu tư gặp chủ làm việc",B-LOAI_BDS B-VI_TRI I-VI_TRI B-DUONG_KIET I-DUONG_KIET O O O B-DIEN_TICH B-CHIEU_RONG B-CHIEU_DAI B-HUONG_NHA I-HUONG_NHA I-HUONG_NHA O B-GIA O B-DICH_VU B-DICH_VU O O O O O O B-PHAP_LY I-PHAP_LY O I-PHAP_LY I-PHAP_LY I-PHAP_LY B-AN_NINH I-AN_NINH I-AN_NINH I-AN_NINH O O B-TIEM_NANG I-TIEM_NANG I-TIEM_NANG I-TIEM_NANG I-TIEM_NANG O O O O
18,"bán lô đất nguyễn hữu an ,nại hiên đông ,sơn trà ,đà nẵng diện tích 180m2 (ngang 10 dài 18) ,vuông vứt hướng đông nam mát mẻ ,view sông hữu tình thích hợp xây nhà ở ,đầu tư đều được yên tĩnh giá 55tr/m2 liên hệ sơn tư vấn vp 2 mặt tiền vũ ngọc nhạ ,thọ quang",B-LOAI_BDS I-LOAI_BDS I-LOAI_BDS B-DIA_CHI I-DIA_CHI I-DIA_CHI I-DIA_CHI I-DIA_CHI I-DIA_CHI I-DIA_CHI I-DIA_CHI I-DIA_CHI I-DIA_CHI O O O O I-CHIEU_RONG O B-CHIEU_DAI O O B-HUONG_NHA I-DIA_CHI I-HUONG_NHA O O O I-VIEW I-DIA_CHI O B-TIEM_NANG I-TIEM_NANG I-TIEM_NANG I-TIEM_NANG I-TIEM_NANG I-TIEM_NANG I-TIEM_NANG I-TIEM_NANG I-TIEM_NANG I-TIEM_NANG I-TIEM_NANG O O O O O I-TIEM_NANG O O B-VI_TRI I-VI_TRI I-VI_TRI O O O O O
19,"bán nhà 2 tầng mới đường hưng hoá gần lê thanh nghị, hoà cường nam, hải châu diện tích 74 m2 (4 x 18.5m). đường 5m5 lề 3m, hướng tây bắc nhà gác đúc mới xây hơn 1 năm gồm 4 phòng ngủ, 2 vệ sinh, phòng khách, bếp. khu dân cư văn minh, yên tĩnh, tiện ích xung quanh rất đầy đủ. vị trí gần ngay lê thanh nghị, xô viết nghệ tĩnh. gần nhiều trường học như đh ngoại ngữ, đh đông á, đh kiến trúc... giá bán đến công chứng 4,55 tỷ (có tl) liên hệ (zalo/call) bđs newlands chuyên nhà đất thổ cư đà nẵng pkd1 12 vũ văn dũng, sơn trà. pkd2 trục shophouse fpt, ngũ hành sơn.","B-LOAI_BDS I-LOAI_BDS B-SO_TANG I-SO_TANG O B-DUONG_KIET O O O O O O O I-AN_NINHờng O O O O O O I-DIEN_TICH O O B-CHIEU_DAI. B-DUONG_KIET I-DUONG_KIET B-VIA_HE I-VIA_HE, B-HUONG_NHA I-HUONG_NHA I-HUONG_NHA I-LOAI_BDS O O O O O O O O B-SO_PHONG_NGU B-TIEN_ICH_KHAC I-SO_PHONG_NGU, B-SO_TANG I-SO_TOILET I-SO_TOILET, B-TIEN_ICH_KHAC I-TIEN_ICH_KHAC, B-TIEN_ICH_KHAC. O B-AN_NINH I-AN_NINH I-AN_NINH I-AN_NINH, O O O O O O O O O O O O O O O O O O O O O O B-DICH_VU I-DICH_VU O O O O O O O O O O O B-LOAI_BDS O O O B-SO_PHONG_NGU,B-GIA I-GIA O O O O O O O O I-LOAI_BDS O O I-AN_NINH O O O O O I-AN_NINH O O O O O O O O O O"
20,"bán đất 229m2 mặt tiền nguyễn văn thoại, đoạn gần sát biển mỹ khê, an hải đông, sơn trà diện tích 229m2 (9,2 x 25) nở hậu hướng nam bán đất nhà đang cho thuê 50tr/th vị trí mt nguyễn văn thoại cách biển 300m, đường 15m, vỉa hè 5m, tuyến đường kinh doanh sầm uất, phù hợp mở nhà hàng, khách sạn, căn hộ ... giá bán đến công chứng 46 tỷ liên hệ zalo/callbđs newlands chuyên nhà đất thổ cư đà nẵng pkd1 12 vũ văn dũng, sơn trà pkd2 trục shophouse kđt fpt nhs","B-LOAI_BDS I-LOAI_BDS B-DIEN_TICH B-VI_TRI I-VI_TRI O O O O O O B-DICH_VU O O O O O O O O O B-DIEN_TICH B-CHIEU_RONG O B-CHIEU_DAI B-HINH_DANG_NHA I-HINH_DANG_NHA B-HUONG_NHA I-HUONG_NHA B-LOAI_BDS I-LOAI_BDS B-DICH_VU B-TINH_TRANG_KD I-TINH_TRANG_KD I-TINH_TRANG_KD O O O B-VI_TRI O O O O B-DICH_VU B-DIEN_TICH, B-DUONG_KIET O B-VIA_HE I-VIA_HE I-VIA_HE, O B-DUONG_KIET B-KINH_DOANH I-KINH_DOANH I-KINH_DOANH I-KINH_DOANH, B-TIEM_NANG I-TIEM_NANG I-TIEM_NANG B-DICH_VU I-DICH_VU, B-DICH_VU I-DICH_VU, I-TIEM_NANG I-TIEM_NANG O O B-LOAI_BDS O O O B-GIA I-GIA O O O O O B-DICH_VU I-LOAI_BDS O O O O O O O O O O O O O O O O O"
21,"bán nhà 3 tầng mặt tiền đường dương đình nghệ đoạn sát đường biển võ nguyên giáp, an hải bắc, sơn trà diện tích đất 268m2 (11 x 25.5) nhà 3 tầng kiên cố gồm 4pn, đang cho thuê doanh thu 50tr/th, hợp đồng còn dài hạn vị trí đẹp cách biển mỹ khê tầm 200m đối diện trung tâm thương mại dịch vụ, đường 7m5 lề 4,5m, đoạn gần biển kinh doanh dịch vụ du lịch sầm uất giá bán đến công chứng 25 tỷ lh call/zalo.bđs newlands chuyên nhà đất thổ cư đà nẵng. pkd1 12 vũ văn dũng, sơn trà. pkd2 trục shophouse kđt fpt nhs","B-LOAI_BDS I-LOAI_BDS B-SO_TANG I-SO_TANG B-VI_TRI I-VI_TRI B-DUONG_KIET O O O O O B-DUONG_KIET B-DICH_VU O O O O O O O O O O O B-DIEN_TICH B-CHIEU_RONG O B-GIA.5) I-LOAI_BDS B-SO_TANG I-SO_TANG O O O B-SO_PHONG_NGU, B-TINH_TRANG_KD I-TINH_TRANG_KD I-TINH_TRANG_KD O O O O O O O O O O O O B-DICH_VU O O O B-DIEN_TICH O O B-DICH_VU I-DICH_VU I-DICH_VU I-DICH_VU O O B-DUONG_KIET I-DUONG_KIET B-VIA_HE I-VIA_HE, O O B-DICH_VU O O O O O O B-KINH_DOANH I-KINH_DOANH O B-LOAI_BDS O O O B-GIA I-GIA O O O O I-LOAI_BDS O O O O O O O O O O O O O O O O O O"
